filename,label
C261_S1_I1.tiff,brown
C261_S1_I10.tiff,brown
C261_S1_I11.tiff,brown
C261_S1_I12.tiff,brown
C261_S1_I13.tiff,brown
C261_S1_I14.tiff,brown
C261_S1_I15.tiff,brown
C261_S1_I2.tiff,brown
C261_S1_I3.tiff,brown
C261_S1_I4.tiff,brown
C261_S1_I5.tiff,brown
C261_S1_I6.tiff,brown
C261_S1_I7.tiff,brown
C261_S1_I8.tiff,brown
C261_S1_I9.tiff,brown
C261_S2_I1.tiff,brown
C261_S2_I10.tiff,brown
C261_S2_I11.tiff,brown
C261_S2_I12.tiff,brown
C261_S2_I13.tiff,brown
C261_S2_I14.tiff,brown
C261_S2_I15.tiff,brown
C261_S2_I2.tiff,brown
C261_S2_I3.tiff,brown
C261_S2_I4.tiff,brown
C261_S2_I5.tiff,brown
C261_S2_I6.tiff,brown
C261_S2_I7.tiff,brown
C261_S2_I8.tiff,brown
C261_S2_I9.tiff,brown
C262_S1_I1.tiff,brown
C262_S1_I10.tiff,brown
C262_S1_I11.tiff,brown
C262_S1_I12.tiff,brown
C262_S1_I13.tiff,brown
C262_S1_I14.tiff,brown
C262_S1_I15.tiff,brown
C262_S1_I2.tiff,brown
C262_S1_I3.tiff,brown
C262_S1_I4.tiff,brown
C262_S1_I5.tiff,brown
C262_S1_I6.tiff,brown
C262_S1_I7.tiff,brown
C262_S1_I8.tiff,brown
C262_S1_I9.tiff,brown
C262_S2_I1.tiff,brown
C262_S2_I10.tiff,brown
C262_S2_I11.tiff,brown
C262_S2_I12.tiff,brown
C262_S2_I13.tiff,brown
C262_S2_I14.tiff,brown
C262_S2_I15.tiff,brown
C262_S2_I2.tiff,brown
C262_S2_I3.tiff,brown
C262_S2_I4.tiff,brown
C262_S2_I5.tiff,brown
C262_S2_I6.tiff,brown
C262_S2_I7.tiff,brown
C262_S2_I8.tiff,brown
C262_S2_I9.tiff,brown
C263_S1_I1.tiff,brown
C263_S1_I10.tiff,brown
C263_S1_I11.tiff,brown
C263_S1_I12.tiff,brown
C263_S1_I13.tiff,brown
C263_S1_I14.tiff,brown
C263_S1_I15.tiff,brown
C263_S1_I2.tiff,brown
C263_S1_I3.tiff,brown
C263_S1_I4.tiff,brown
C263_S1_I5.tiff,brown
C263_S1_I6.tiff,brown
C263_S1_I7.tiff,brown
C263_S1_I8.tiff,brown
C263_S1_I9.tiff,brown
C264_S1_I1.tiff,brown
C264_S1_I10.tiff,brown
C264_S1_I11.tiff,brown
C264_S1_I12.tiff,brown
C264_S1_I13.tiff,brown
C264_S1_I14.tiff,brown
C264_S1_I15.tiff,brown
C264_S1_I2.tiff,brown
C264_S1_I3.tiff,brown
C264_S1_I4.tiff,brown
C264_S1_I5.tiff,brown
C264_S1_I6.tiff,brown
C264_S1_I7.tiff,brown
C264_S1_I8.tiff,brown
C264_S1_I9.tiff,brown
C265_S1_I1.tiff,brown
C265_S1_I10.tiff,brown
C265_S1_I11.tiff,brown
C265_S1_I12.tiff,brown
C265_S1_I13.tiff,brown
C265_S1_I14.tiff,brown
C265_S1_I15.tiff,brown
C265_S1_I2.tiff,brown
C265_S1_I3.tiff,brown
C265_S1_I4.tiff,brown
C265_S1_I5.tiff,brown
C265_S1_I6.tiff,brown
C265_S1_I7.tiff,brown
C265_S1_I8.tiff,brown
C265_S1_I9.tiff,brown
C266_S1_I1.tiff,brown
C266_S1_I10.tiff,brown
C266_S1_I11.tiff,brown
C266_S1_I12.tiff,brown
C266_S1_I13.tiff,brown
C266_S1_I14.tiff,brown
C266_S1_I15.tiff,brown
C266_S1_I2.tiff,brown
C266_S1_I3.tiff,brown
C266_S1_I4.tiff,brown
C266_S1_I5.tiff,brown
C266_S1_I6.tiff,brown
C266_S1_I7.tiff,brown
C266_S1_I8.tiff,brown
C266_S1_I9.tiff,brown
C267_S1_I1.tiff,brown
C267_S1_I10.tiff,brown
C267_S1_I11.tiff,brown
